StoreID,Name,Brand,Latitude,Longitude,Capacity,Takeaway,Internet_Access
1,Second Cup_1,Second Cup,43.6772079,-79.3528895,,yes,
2,Tim Hortons_2,Tim Hortons,43.6523976,-79.4062653,,yes,wlan
3,Tim Hortons_3,Tim Hortons,43.6434725,-79.3916769,,yes,
4,Starbucks_4,Starbucks,43.6453549,-79.3894561,,yes,
5,Tim Hortons_5,Tim Hortons,43.6681371,-79.3976093,,yes,wlan
6,Starbucks_6,Starbucks,43.670435,-79.3936342,,yes,
7,Starbucks_7,Starbucks,43.6705964,-79.3900893,20.0,yes,yes
8,,,,,,,
9,Tim Hortons_9,Tim Hortons,43.7121778,-79.5348397,,yes,
10,Tim Hortons_10,Tim Hortons,43.6646502,-79.3841706,,yes,
11,Tim Hortons_11,Tim Hortons,43.6581672,-79.3996143,,yes,wlan
12,Tim Hortons_12,Tim Hortons,43.6611444,-79.383289,,yes,
13,Tim Hortons_13,Tim Hortons,43.5929034,-79.5390715,,yes,wlan
14,Tim Hortons_14,Tim Hortons,43.6567359,-79.3798973,,only,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,Starbucks_18,Starbucks,43.6492696,-79.3782176,,yes,yes
19,,,,,,,
20,Tim Hortons_20,Tim Hortons,43.6881672,-79.3004655,,yes,
21,Tim Hortons_21,Tim Hortons,43.683782,-79.3223533,,yes,
22,,,,,,,
23,Tim Hortons_23,Tim Hortons,43.6594983,-79.390945,,yes,
24,,,,,,,
25,Starbucks_25,Starbucks,43.6507295,-79.3877439,,yes,
26,,,,,,,
27,Tim Hortons_27,Tim Hortons,43.6495049,-79.3768921,,yes,
28,,,,,,,
29,Tim Hortons_29,Tim Hortons,43.6479642,-79.3761252,,yes,
30,Tim Hortons_30,Tim Hortons,43.6514399,-79.379004,,yes,
31,,,,,,,
32,Starbucks_32,Starbucks,43.7040624,-79.4118353,,yes,
33,Starbucks_33,Starbucks,43.6713495,-79.380646,,yes,
34,Tim Hortons_34,Tim Hortons,43.7989574,-79.3696355,,yes,
35,,,,,,,
36,Tim Hortons_36,Tim Hortons,43.805601,-79.3842086,,yes,wlan
37,Tim Hortons_37,Tim Hortons,43.666716,-79.4041802,,yes,
38,Second Cup_38,Second Cup,43.6633456,-79.4017693,,yes,
39,,,,,,,
40,Tim Hortons_40,Tim Hortons,43.6721688,-79.3769798,,yes,wlan
41,,,,,,,
42,,,,,,,
43,Starbucks_43,Starbucks,43.6681256,-79.3886125,,yes,
44,Tim Hortons_44,Tim Hortons,43.7132445,-79.5802037,,yes,
45,,,,,,,
46,Starbucks_46,Starbucks,43.7048071,-79.3615832,,yes,
47,,,,,,,
48,Starbucks_48,Starbucks,43.6684309,-79.3079591,,yes,
49,,,,,,,
50,Tim Hortons_50,Tim Hortons,43.6798374,-79.3450512,,yes,
51,Tim Hortons_51,Tim Hortons,43.6690141,-79.389389,,yes,wlan
52,Second Cup_52,Second Cup,43.6625562,-79.3988018,,yes,wlan
53,Second Cup_53,Second Cup,43.6592607,-79.3969162,,yes,
54,Second Cup_54,Second Cup,43.6664023,-79.3989301,,yes,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,Second Cup_58,Second Cup,43.6446134,-79.3881299,,yes,
59,,,,,,,
60,Tim Hortons_60,Tim Hortons,43.6610156,-79.3938883,,yes,
61,Tim Hortons_61,Tim Hortons,43.7930602,-79.3545393,,yes,
62,Tim Hortons_62,Tim Hortons,43.7561075,-79.5162232,,yes,
63,Tim Hortons_63,Tim Hortons,43.7729662,-79.507711,,yes,
64,,,,,,,
65,Tim Hortons_65,Tim Hortons,43.6531804,-79.368843,,yes,
66,,,,,,,
67,,,,,,,
68,Starbucks_68,Starbucks,43.6461941,-79.3800608,,yes,
69,Tim Hortons_69,Tim Hortons,43.7371098,-79.2178857,,yes,
70,Tim Hortons_70,Tim Hortons,43.7988794,-79.2418071,,yes,
71,Tim Hortons_71,Tim Hortons,43.6833977,-79.56452,,yes,wlan
72,Tim Hortons_72,Tim Hortons,43.6957548,-79.4491365,,yes,
73,Tim Hortons_73,Tim Hortons,43.7574238,-79.2292345,,yes,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,Starbucks_78,Starbucks,43.7691253,-79.3866003,,yes,
79,,,,,,,
80,Tim Hortons_80,Tim Hortons,43.6606025,-79.3833845,,yes,
81,Starbucks_81,Starbucks,43.6470364,-79.3781441,,yes,
82,,,,,,,
83,Tim Hortons_83,Tim Hortons,43.6646214,-79.3874964,,yes,
84,Tim Hortons_84,Tim Hortons,43.6478309,-79.3845214,,yes,
85,Second Cup_85,Second Cup,43.7473185,-79.3848843,,yes,
86,Tim Hortons_86,Tim Hortons,43.7550408,-79.3515928,,yes,
87,Tim Hortons_87,Tim Hortons,43.6984387,-79.3969693,,yes,wlan
88,Starbucks_88,Starbucks,43.7051764,-79.3747198,,yes,
89,Tim Hortons_89,Tim Hortons,43.7063461,-79.3980251,,yes,wlan
90,Tim Hortons_90,Tim Hortons,43.6657825,-79.3683664,,yes,
91,Second Cup_91,Second Cup,43.6525323,-79.3801612,,yes,
92,Second Cup_92,Second Cup,43.6529779,-79.3775788,,yes,
93,Starbucks_93,Starbucks,43.6523258,-79.3782736,,yes,
94,Starbucks_94,Starbucks,43.6565629,-79.3804948,,yes,
95,Tim Hortons_95,Tim Hortons,43.7251722,-79.4492251,,yes,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,Tim Hortons_99,Tim Hortons,43.7259831,-79.4824183,,yes,
100,,,,,,,
101,Starbucks_101,Starbucks,43.779878,-79.4163398,,yes,
102,Tim Hortons_102,Tim Hortons,43.676668,-79.4115944,,yes,
103,Starbucks_103,Starbucks,43.6396349,-79.5374684,,yes,
104,Tim Hortons_104,Tim Hortons,43.6497393,-79.3872682,,yes,
105,Starbucks_105,Starbucks,43.7225487,-79.415293,,yes,
